Codmundv,municipality_name
1100015,Alta Floresta D'Oeste
1100023,Ariquemes
1100049,Cacoal
1100064,Colorado do Oeste
1100098,Espigão D'Oeste
1100106,Guajará-Mirim
1100114,Jaru
1100148,Nova Brasilândia D'Oeste
1100155,Ouro Preto do Oeste
1100189,Pimenta Bueno
1100205,Porto Velho
1100254,Presidente Médici
1100288,Rolim de Moura
1100304,Vilhena
1100338,Nova Mamoré
1100601,Cacaulândia
1100809,Candeias do Jamari
1101401,Monte Negro
1101492,São Francisco do Guaporé
1200203,Cruzeiro do Sul
1200401,Rio Branco
1200500,Sena Madureira
1301209,Coari
1301902,Itacoatiara
1302603,Manaus
1302900,Maués
1303809,São Gabriel da Cachoeira
1400027,Amajari
1400100,Boa Vista
1400175,Cantá
1400209,Caracaraí
1400308,Mucajaí
1400456,Pacaraima
1500107,Abaetetuba
1500602,Altamira
1500800,Ananindeua
1500909,Augusto Corrêa
1501303,Barcarena
1501402,Belém
1501451,Belterra
1501501,Benevides
1501709,Bragança
1501725,Brasil Novo
1501808,Breves
1502202,Capanema
1502400,Castanhal
1502707,Conceição do Araguaia
1502939,Dom Eliseu
1503606,Itaituba
1503903,Juruti
1504208,Marabá
1504422,Marituba
1505205,Oeiras do Pará
1505304,Oriximiná
1505502,Paragominas
1505536,Parauapebas
1505700,Ponta de Pedras
1506005,Prainha
1506195,Rurópolis
1506203,Salinópolis
1506500,Santa Izabel do Pará
1506807,Santarém
1507953,Tailândia
1508001,Tomé-Açu
1508159,Uruará
1508209,Vigia
1600303,Macapá
1600600,Santana
1700707,Alvorada
1702000,Araguaçu
1702109,Araguaína
1703867,Cariri do Tocantins
1705508,Colinas do Tocantins
1707108,Divinópolis do Tocantins
1707652,Figueirópolis
1708205,Formoso do Araguaia
1721109,Tocantínia
1721208,Tocantinópolis
2101400,Balsas
2103000,Caxias
2103307,Codó
2105302,Imperatriz
2108603,Pinheiro
2111300,São Luís
2208403,Piripiri
2300200,Acaraú
2300309,Acopiara
2300507,Alcântaras
2300754,Amontada
2301000,Aquiraz
2301109,Aracati
2301208,Aracoiaba
2301604,Assaré
2301901,Barbalha
2301950,Barreira
2302008,Barro
2302107,Baturité
2302206,Beberibe
2302404,Boa Viagem
2302602,Camocim
2302701,Campos Sales
2302800,Canindé
2303006,Caridade
2303501,Cascavel
2304103,Crateús
2304202,Crato
2304251,Cruz
2304285,Eusébio
2304301,Farias Brito
2304350,Forquilha
2304707,Granja
2305001,Guaraciaba do Norte
2305100,Guaramiranga
2305332,Ibicuitinga
2305357,Icapuí
2305407,Icó
2305506,Iguatu
2306108,Irauçuba
2306207,Itaiçaba
2306405,Itapipoca
2307007,Jaguaruana
2307106,Jardim
2307403,Jucás
2307502,Lavras da Mangabeira
2307601,Limoeiro do Norte
2307700,Maranguape
2308104,Mauriti
2308302,Milagres
2308708,Morada Nova
2309607,Pacajus
2309706,Pacatuba
2310001,Palhano
2310209,Paracuru
2310258,Paraipaba
2310704,Pentecoste
2310902,Piquet Carneiro
2311009,Poranga
2311306,Quixadá
2311405,Quixeramobim
2311504,Quixeré
2311702,Reriutaba
2311801,Russas
2312403,São Gonçalo do Amarante
2400802,Angicos
2401107,Areia Branca
2408300,Nova Cruz
2409902,Pendências
2500601,Alhandra
2501005,Araruna
2501104,Areia
2501302,Aroeiras
2501807,Bayeux
2503001,Caaporã
2503209,Cabedelo
2503704,Cajazeiras
2504009,Campina Grande
2504306,Catolé do Rocha
2504603,Conde
2504801,Coremas
2506004,Esperança
2506103,Fagundes
2506301,Guarabira
2507507,João Pessoa
2508307,Lagoa Seca
2508901,Mamanguape
2510808,Patos
2511400,Picuí
2512002,Pocinhos
2512101,Pombal
2512309,Princesa Isabel
2512507,Queimadas
2512705,Remígio
2512903,Rio Tinto
2513703,Santa Rita
2514503,São José de Piranhas
2515104,São Sebastião de Lagoa de Roça
2515302,Sapé
2516201,Sousa
2516300,Sumé
2600054,Abreu e Lima
2600708,Aliança
2603702,Canhotinho
2608008,Jataúba
2611804,Ribeirão
2612307,Saloá
2700300,Arapiraca
2700409,Atalaia
2701001,Boca da Mata
2704500,Maragogi
2704708,Marechal Deodoro
2706307,Palmeira dos Índios
2706703,Penedo
2706901,Pilar
2708006,Santana do Ipanema
2708600,São Miguel dos Campos
2708907,Satuba
2800308,Aracaju
2800605,Barra dos Coqueiros
2802106,Estância
2900207,Abaré
2910727,Eunápolis
2910800,Feira de Santana
2911105,Formosa do Rio Preto
2911204,Gandu
2911709,Guanambi
2913606,Ilhéus
2913705,Inhambupe
2913903,Ipiaú
2914000,Ipirá
2914406,Iraquara
2914505,Irará
2914604,Irecê
2914703,Itaberaba
2914802,Itabuna
2916401,Itapetinga
2916500,Itapicuru
2917508,Jacobina
2917706,Jaguarari
2918001,Jequié
2918357,João Dourado
2918407,Juazeiro
2919157,Lapão
2919207,Lauro de Freitas
2919306,Lençóis
2919504,Livramento de Nossa Senhora
2919553,Luís Eduardo Magalhães
2919926,Madre de Deus
2921005,Mata de São João
2922003,Mucuri
2922300,Muritiba
2923001,Nova Viçosa
2924009,Paulo Afonso
2925006,Planalto
2925105,Poções
2925204,Pojuca
2925303,Porto Seguro
2925956,Rafael Jambeiro
2926004,Remanso
2926301,Riachão do Jacuípe
2926608,Ribeira do Pombal
2927002,Rio Real
2927200,Ruy Barbosa
2927408,Salvador
2927507,Santa Bárbara
2927705,Santa Cruz Cabrália
2928604,Santo Amaro
2928703,Santo Antônio de Jesus
2928901,São Desidério
2929206,São Francisco do Conde
2929305,São Gonçalo dos Campos
2929503,São Sebastião do Passé
2929909,Seabra
2930105,Senhor do Bonfim
2930501,Serrinha
2930709,Simões Filho
2931004,Tanhaçu
2931350,Teixeira de Freitas
2932200,Ubaitaba
2932705,Uruçuca
2932903,Valença
2933307,Vitória da Conquista
3101607,Alfenas
3102605,Andradas
3103504,Araguari
3104106,Arceburgo
3104908,Baependi
3105608,Barbacena
3106309,Belo Oriente
3106705,Betim
3107109,Boa Esperança
3108305,Borda da Mata
3109105,Bueno Brandão
3109709,Cachoeira de Minas
3111200,Campo Belo
3111606,Campos Gerais
3112604,Capinópolis
3113305,Carangola
3113404,Caratinga
3114501,Carmópolis de Minas
3115102,Cássia
3115508,Caxambu
3118007,Congonhas
3118205,Conquista
3121605,Diamantina
3122306,Divinópolis
3123908,Entre Rios de Minas
3124104,Esmeraldas
3126109,Formiga
3128006,Guanhães
3129806,Ibirité
3130309,Iguatama
3131307,Ipatinga
3132404,Itajubá
3133006,Itamonte
3133105,Itanhandu
3134202,Ituiutaba
3134608,Jaboticatubas
3135100,Janaúba
3136207,João Monlevade
3137502,Lagoa Formosa
3138203,Lavras
3138609,Lima Duarte
3139904,Maria da Fé
3140803,Matias Barbosa
3143203,Monte Santo de Minas
3144607,Nepomuceno
3145000,Nova Ponte
3145109,Nova Resende
3147204,Paraguaçu
3147303,Paraisópolis
3147402,Paraopeba
3147600,Passa Quatro
3147907,Passos
3149804,Perdizes
3149903,Perdões
3150901,Piranguçu
3151206,Pirapora
3151800,Poços de Caldas
3152105,Ponte Nova
3152907,Pratápolis
3153400,Presidente Olegário
3156908,Sacramento
3157500,Santa Efigênia de Minas
3159803,Santa Vitória
3161908,São Gonçalo do Rio Abaixo
3162104,São Gotardo
3162203,São João Batista do Glória
3162500,São João del Rei
3162955,São José da Lapa
3163706,São Lourenço
3164704,São Sebastião do Paraíso
3167202,Sete Lagoas
3168002,Taiobeiras
3169604,Tupaciguara
3169703,Turmalina
3169901,Ubá
3170701,Varginha
3200102,Afonso Cláudio
3200201,Alegre
3200300,Alfredo Chaves
3200409,Anchieta
3200805,Baixo Guandu
3201001,Boa Esperança
3201209,Cachoeiro de Itapemirim
3201308,Cariacica
3201407,Castelo
3201506,Colatina
3201605,Conceição da Barra
3201902,Domingos Martins
3202306,Guaçuí
3202405,Guarapari
3202454,Ibatiba
3202504,Ibiraçu
3202603,Iconha
3202702,Itaguaçu
3202801,Itapemirim
3202900,Itarana
