ID,COD_UF_A,UF_A,source,NOMEMUN_A,COD_UF_B,UF_B,target,NOMEMUN_B,VAR01,VAR02,VAR03,VAR04,weekly_flow,VAR06,VAR07,VAR08,VAR09,VAR10,VAR11,VAR12,VAR13,VAR14,pij,edge_key,keep_top5,keep
15039031506005,15,PA,1503903,Juruti,15,PA,1506005,Prainha,Centro Local,Centro Local,60.0,1440,14.0,0.0,14.0,-56.0949976886,-2.15525299503,-53.4818139411,-1.8056944999,0.0,Não,0.0416666666666667,0.5989923172396755,"(1503903, 1506005)",True,True
13019021506005,13,AM,1301902,Itacoatiara,15,PA,1506005,Prainha,Centro de Zona A,Centro Local,120.0,2850,12.5,0.0,12.5,-58.4401754363,-3.14037880354,-53.4818139411,-1.8056944999,0.0,Não,0.0421052631578947,0.40616949004860164,"(1301902, 1506005)",True,True
13019021506807,13,AM,1301902,Itacoatiara,15,PA,1506807,Santarém,Centro de Zona A,Capital Regional C,80.0,1650,13.5,0.0,13.5,-58.4401754363,-3.14037880354,-54.7185701669,-2.43621332958,0.0,Não,0.0484848484848485,0.11528788098247779,"(1301902, 1506807)",True,True
23021072305100,23,CE,2302107,Baturité,23,CE,2305100,Guaramiranga,Centro Local,Centro Local,2.0,40,0.0,526.0,526.0,-38.8800213759,-4.33120515599,-38.9406332851,-4.26205091852,0.0,Não,0.05,1.0,"(2302107, 2305100)",True,True
35205093552403,35,SP,3520509,Indaiatuba,35,SP,3552403,Sumaré,Integrante de Capital Regional A (Campinas),Integrante de Capital Regional A (Campinas),4.15,75,0.0,28.0,28.0,-47.2123089399,-23.0816460004,-47.2658027322,-22.8221449998,0.0,Não,0.0553333333333333,1.0,"(3520509, 3552403)",True,True
23051002307700,23,CE,2305100,Guaramiranga,23,CE,2307700,Maranguape,Centro Local,Integrante de Metrópole (Fortaleza),10.0,180,0.0,69.0,69.0,-38.9406332851,-4.26205091852,-38.6858512476,-3.89186945981,0.0,Não,0.0555555555555556,1.0,"(2305100, 2307700)",True,True
43075004318705,43,RS,4307500,Espumoso,43,RS,4318705,São Leopoldo,Centro de Zona B,Núcleo de Capital Regional C (Novo Hamburgo/São Leopoldo),14.3,255,0.0,46.0,46.0,-52.8419269708,-28.7314451426,-51.1462345613,-29.7658665426,0.0,Sim,0.056078431372549,1.0,"(4307500, 4318705)",True,True
42083024209706,42,SC,4208302,Itapema,42,SC,4209706,Lebon Régis,Centro Local,Centro Local,20.55,360,0.0,14.0,14.0,-48.6173993859,-27.0959378834,-50.6918278644,-26.9291140108,0.0,Sim,0.0570833333333333,1.0,"(4208302, 4209706)",True,True
43149024320404,43,RS,4314902,Porto Alegre,43,RS,4320404,Serafina Corrêa,Núcleo de Metrópole (Porto Alegre),Centro de Zona B,16.45,275,0.0,47.0,47.0,-51.2286604638,-30.0300367747,-51.9357086103,-28.7107970717,0.0,Sim,0.0598181818181818,1.0,"(4314902, 4320404)",True,True
41256054218301,41,PR,4125605,São Mateus do Sul,42,SC,4218301,Três Barras,Centro de Zona B,Centro Local,3.0,50,0.0,109.0,109.0,-50.3906242546,-25.8695995049,-50.3054193678,-26.114096337,0.0,Não,0.06,1.0,"(4125605, 4218301)",True,True
35205093533403,35,SP,3520509,Indaiatuba,35,SP,3533403,Nova Odessa,Integrante de Capital Regional A (Campinas),Integrante de Capital Regional A (Campinas),5.4,90,0.0,14.0,14.0,-47.2123089399,-23.0816460004,-47.2936346145,-22.7827946609,0.0,Não,0.06,1.0,"(3520509, 3533403)",True,True
43187054321006,43,RS,4318705,São Leopoldo,43,RS,4321006,Tapera,Núcleo de Capital Regional C (Novo Hamburgo/São Leopoldo),Centro Local,16.65,275,0.0,46.0,46.0,-51.1462345613,-29.7658665426,-52.8714671738,-28.6249501913,0.0,Sim,0.0605454545454545,1.0,"(4318705, 4321006)",True,True
33002253303906,33,RJ,3300225,Areal,33,RJ,3303906,Petrópolis,Centro Local,Integrante de Metrópole (Rio de Janeiro),5.5,90,0.0,79.0,79.0,-43.1010698048,-22.2369120039,-43.1773365771,-22.5105986118,0.0,Não,0.0611111111111111,1.0,"(3300225, 3303906)",True,True
23012082305100,23,CE,2301208,Aracoiaba,23,CE,2305100,Guaramiranga,Centro Local,Centro Local,3.45,55,0.0,210.0,210.0,-38.8094409692,-4.37039380663,-38.9406332851,-4.26205091852,0.0,Não,0.0627272727272727,1.0,"(2301208, 2305100)",True,True
42031054320800,42,SC,4203105,Caibi,43,RS,4320800,Soledade,Centro Local,Centro de Zona A,30.25,460,0.0,28.0,28.0,-53.2505271957,-27.0730539325,-52.509866171,-28.8277379534,0.0,Não,0.0657608695652174,1.0,"(4203105, 4320800)",True,True
23043502305001,23,CE,2304350,Forquilha,23,CE,2305001,Guaraciaba do Norte,Centro Local,Centro de Zona B,17.35,262,0.0,14.0,14.0,-40.2587689983,-3.79895774281,-40.7526331775,-4.16245106756,0.0,Não,0.0662213740458015,1.0,"(2304350, 2305001)",True,True
35038023509502,35,SP,3503802,Artur Nogueira,35,SP,3509502,Campinas,Centro Local,Núcleo de Capital Regional A (Campinas),5.3,80,0.0,241.0,241.0,-47.1643011506,-22.5713430101,-47.0601562726,-22.9073424996,0.0,Não,0.06625,1.0,"(3503802, 3509502)",True,True
35164083525904,35,SP,3516408,Franco da Rocha,35,SP,3525904,Jundiaí,Integrante de Metrópole (São Paulo),Núcleo de Centro de Zona A (Jundiaí),4.65,70,0.0,468.0,468.0,-46.7278746686,-23.3203025002,-46.8852739681,-23.187668,0.0,Não,0.0664285714285714,1.0,"(3516408, 3525904)",True,True
35092053525904,35,SP,3509205,Cajamar,35,SP,3525904,Jundiaí,Integrante de Metrópole (São Paulo),Núcleo de Centro de Zona A (Jundiaí),5.65,85,0.0,378.0,378.0,-46.8829201464,-23.3609713845,-46.8852739681,-23.187668,0.0,Não,0.0664705882352941,1.0,"(3509205, 3525904)",True,True
15013031505205,15,PA,1501303,Barcarena,15,PA,1505205,Oeiras do Pará,Integrante de Metrópole (Belém),Centro Local,40.0,600,7.0,0.0,7.0,-48.6270728922,-1.50576700474,-49.8551061088,-2.00473400017,0.0,Não,0.0666666666666667,0.5333333333333333,"(1501303, 1505205)",True,True
35183053546801,35,SP,3518305,Guararema,35,SP,3546801,Santa Isabel,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),4.0,60,0.0,75.0,75.0,-46.0410534647,-23.4152330198,-46.2270128421,-23.3180884997,0.0,Não,0.0666666666666667,1.0,"(3518305, 3546801)",True,True
43156024318507,43,RS,4315602,Rio Grande,43,RS,4318507,São José do Norte,Núcleo de Capital Regional C (Pelotas - Rio Grande),Centro Local,2.0,30,472.0,0.0,472.0,-52.0867696994,-32.0504457927,-52.0342022717,-32.0206091129,0.0,Não,0.0666666666666667,0.0,"(4315602, 4318507)",True,True
41238084320800,41,PR,4123808,Santa Izabel do Oeste,43,RS,4320800,Soledade,Centro Local,Centro de Zona A,59.48,890,0.0,6.0,6.0,-53.4836175359,-25.8143812185,-52.509866171,-28.8277379534,0.0,Não,0.0668314606741573,1.0,"(4123808, 4320800)",True,True
25013022512507,25,PB,2501302,Aroeiras,25,PB,2512507,Queimadas,Centro Local,Integrante de Capital Regional B (Campina Grande),2.75,40,0.0,534.0,534.0,-35.7155929489,-7.5484620227,-35.899433911,-7.36079149993,0.0,Não,0.06875,1.0,"(2501302, 2512507)",True,True
35468013552502,35,SP,3546801,Santa Isabel,35,SP,3552502,Suzano,Integrante de Metrópole (São Paulo),Integrante de Metrópole (São Paulo),6.2,90,0.0,489.0,489.0,-46.2270128421,-23.3180884997,-46.3078104672,-23.5368275001,0.0,Não,0.0688888888888889,1.0,"(3546801, 3552502)",True,True
35414065106752,35,SP,3541406,Presidente Prudente,51,MT,5106752,Pontes e Lacerda,Capital Regional C,Centro de Zona B,110.34,1600,0.0,21.0,21.0,-51.3867655819,-22.1227435,-59.3380018442,-15.2297275715,0.0,Sim,0.0689625,1.0,"(3541406, 5106752)",True,True
15014021505205,15,PA,1501402,Belém,15,PA,1505205,Oeiras do Pará,Núcleo de Metrópole (Belém),Centro Local,50.0,720,8.0,0.0,8.0,-48.4878256878,-1.45984500045,-49.8551061088,-2.00473400017,2.0,Não,0.0694444444444444,0.45950475721260103,"(1501402, 1505205)",True,True
43100094318705,43,RS,4310009,Ibirubá,43,RS,4318705,São Leopoldo,Centro de Zona A,Núcleo de Capital Regional C (Novo Hamburgo/São Leopoldo),21.7,310,0.0,45.0,45.0,-53.0883540195,-28.6276077824,-51.1462345613,-29.7658665426,0.0,Sim,0.07,1.0,"(4310009, 4318705)",True,True
11002055002704,11,RO,1100205,Porto Velho,50,MS,5002704,Campo Grande,Capital Regional B,Núcleo de Capital Regional A (Campo Grande),158.25,2250,0.0,70.0,70.0,-63.8314456543,-8.76889178972,-54.6157435664,-20.4580299876,0.0,Sim,0.0703333333333333,1.0,"(1100205, 5002704)",True,True
43149025107925,43,RS,4314902,Porto Alegre,51,MT,5107925,Sorriso,Núcleo de Metrópole (Porto Alegre),Centro de Zona A,182.97,2590,0.0,30.0,30.0,-51.2286604638,-30.0300367747,-55.7259136753,-12.5517767078,0.0,Sim,0.0706447876447876,1.0,"(4314902, 5107925)",True,True
35322073541406,35,SP,3532207,Narandiba,35,SP,3541406,Presidente Prudente,Centro Local,Capital Regional C,4.25,60,0.0,90.0,90.0,-51.5242398511,-22.4042832003,-51.3867655819,-22.1227435,0.0,Não,0.0708333333333333,1.0,"(3532207, 3541406)",True,True
